,ID,TimeStamp,Tweets,Likes,Retweet_count
543,1247592982632685568,2022-07-30 12:12:11+00:00,Today the whole world has witnessed that this is how Democracy works in India. So think twice before lecturing us on D…,0,6
544,1248855475191496704,2022-07-30 12:04:24+00:00,discourse: 534 uncovered villages in TN to get 4G mobile service soon fisheries information Broadband …,0,2
545,821315237651578880,2022-07-30 12:03:28+00:00,"Union Minister for Home Affairs and Cooperation, AmitShah, called on President DroupadiMurmu at Rashtrapati Bhavan on…",0,1
546,973183128620576769,2022-07-30 12:03:15+00:00,"in: ""Recently, Odisha did an important contribution in the form of DroupadiMurmu who has been made the new President of Ind…",0,5
547,1518464692003422213,2022-07-30 11:55:30+00:00,discourse: 534 uncovered villages in TN to get 4G mobile service soon fisheries information Broadband …,0,2
548,231692806,2022-07-30 11:53:46+00:00,"""President DroupadiMurmu congratulates SanketSargar for winning a silver medal, the first for India at CWG 2022, in Men’s 55kg weightliftingTeamIndia CWG2022 CommonwealthGames2022 LIVE BLOG🔗",1,0
549,937962626222497793,2022-07-30 11:50:56+00:00,534 uncovered villages in TN to get 4G mobile service soon fisheries information Broadband broadcasting murugan 4Gmobiles infrastructure BSNL mtnl marketingnetworks Growth ChessOlympiad2022 DroupadiMurmu chennai,3,2
550,1260008625340383232,2022-07-30 11:49:28+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
551,1245182826758037505,2022-07-30 11:47:44+00:00,President DroupadiMurmu hails weightlifter SanketSargar for winning a silver medal in Men's 55 kg weightlifting in Commonw…,0,2
552,36327407,2022-07-30 11:46:57+00:00,President DroupadiMurmu hails weightlifter SanketSargar for winning a silver medal in Men's 55 kg weightlifting in CommonwealthGames2022,54,2
553,2262532860,2022-07-30 11:42:11+00:00,President DroupadiMurmu congratulates SanketSargar for winning silver medal at the CommonwealthGames2022,1,3
554,1466158437528604677,2022-07-30 11:34:26+00:00,"in: ""Recently, Odisha did an important contribution in the form of DroupadiMurmu who has been made the new President of Ind…",0,5
555,1039084269962813440,2022-07-30 11:30:00+00:00,"WebQoof | An old photograph of RamNathKovind with President DroupadiMurmu was shared, claiming that the two performed a religious ritual before the latter's official swearing-in ceremony. Read our fact-check here.",1,0
556,1553341000508010498,2022-07-30 11:27:53+00:00,Our country's would be Ma'am President's commitment 2 Edn is simply inspirational 🙏I take pride in being the datr 'n…,0,4
557,1432814718,2022-07-30 11:24:45+00:00,"in: ""Recently, Odisha did an important contribution in the form of DroupadiMurmu who has been made the new President of Ind…",0,5
558,28082599,2022-07-30 11:23:49+00:00,"in: ""Recently, Odisha did an important contribution in the form of DroupadiMurmu who has been made the new President of Ind…",0,5
559,1226726452105629701,2022-07-30 11:19:02+00:00,Many Congratulations to Smt. Droupadi Murmu on becoming the 15th President of India and first tribal woman to hold the…,0,594
560,17732037,2022-07-30 11:11:52+00:00,Benumbed by reading that the name by which the world knows you is not your original name. My Open Letter to the PresidentofIndia DroupadiMurmu,3,0
561,911460809460654080,2022-07-30 11:08:11+00:00,jasani: DroupadiMurmu elected India's first Tribal Woman President 💐👏🙏🏼 PresidentialElections2022 PresidentialElectionResults…,0,2
562,869758037237661696,2022-07-30 10:57:13+00:00,"Union Minister for , Shri , called on President DroupadiMurmu at RashtrapatiBhavan. 💐 ht…",0,6
563,1097443100849430529,2022-07-30 10:55:50+00:00,"In her acceptance address at the Central Hall of Parliament soon after being sworn in as the 15th President of India, DroupadiMurmu recalled her stint as a teacher at Sri Aurobindo Integral Education and Research Centre, Odisha. (1/n)By Debi Mohanty",0,0
564,343270100,2022-07-30 10:54:54+00:00,"AdhirRanjanChowdhury Finally written apology from senior leader, unable to control their tongue, says it was slip of tongue.अरे भाई आपनी जबान संभाल के is the whip to all INC DroupadiMurmu IsupportSmrutiIrani condemncongress",0,0
565,1335199667571679232,2022-07-30 10:51:45+00:00,"""Recently, Odisha did an important contribution in the form of DroupadiMurmu who has been made the new President of India,"" says Union Minister Rajeev Chandrasekhar. ArgusEducationNext2022",14,5
566,17710740,2022-07-30 10:50:52+00:00,Touch President DroupadiMurmu's feet: BJP MP on AdhirRanjanChowdhury's apology,5,1
567,1491340985527599104,2022-07-30 10:48:05+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
568,1550812611238719488,2022-07-30 10:21:52+00:00,Congratulations 🎉🎉 jiराष्ट्रपतिश्रीमतीद्रौपदीमुर्मूजी,0,39
569,1438004997304696839,2022-07-30 10:20:56+00:00,Today’s column on our remarkable President-elect Droupadi Murmu. droupadimurmu,0,21
570,1470740499069685765,2022-07-30 10:08:30+00:00,100% next President of India is DroupadiMurmu PresidentialElection PresidentialElections2022हरहरमहादेव Nelso…,0,6
571,1432288425969860615,2022-07-30 10:05:13+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
572,1546090329795067904,2022-07-30 10:04:47+00:00,Delhi: Outgoing Ram Nath Kovind &amp; President-elect DroupadiMurmuJi leave from RashtrapatiBhavan for th…,0,2
573,1529411436979494912,2022-07-30 10:02:02+00:00,"Smt Irani, Union Minister for , Women &amp; Child Development along with , MoS for Wom…",0,3
