,ID,TimeStamp,Tweets,Likes,Retweet_count
30,3288645805,2022-07-28 05:51:49+00:00,"Congress leader #AdhirRanjanChowdhury Deliberately &amp; Snobbishly refers to #PresidentofIndia #DroupadiMurmu Ji as “राष्ट्रपत्नी”
@INCIndia had no Respect for #APJAbdulKalam 
#RamNathKovind &amp; that hatred continues for #DraupadiMurmu Ji. 
#SoniaGandhi_MaafiMaango
@blsanthosh https://t.co/ERMofICDxu",2,0
31,1551567243078938630,2022-07-28 05:51:47+00:00,RT @the_hindu: Former #Jharkhand Governor and National Democratic Alliance (#NDA) candidate #DroupadiMurmu was elected the 15 th President…,0,110
32,1274218444318269440,2022-07-28 05:51:14+00:00,"RT @DDNewslive: BJP demands apology from Congress MP Adhir Chowdhury for his remark against President #DroupadiMurmu 

#LokSabha adjourned…",0,21
33,106069949,2022-07-28 05:51:09+00:00,"RT @DDNewslive: BJP demands apology from Congress MP Adhir Chowdhury for his remark against President #DroupadiMurmu 

#LokSabha adjourned…",0,21
34,1480080300960993281,2022-07-28 05:51:09+00:00,RT @SujeetKOfficial: Privileged to meet President-elect Smt. #DroupadiMurmu along with Hon’ble CM @Naveen_Odisha &amp; my fellow party Colleagu…,0,14
35,57916340,2022-07-28 05:51:03+00:00,"RT @DDNewslive: BJP demands apology from Congress MP Adhir Chowdhury for his remark against President #DroupadiMurmu 

#LokSabha adjourned…",0,21
36,2808959899,2022-07-28 05:50:33+00:00,"RT @DDNewslive: BJP demands apology from Congress MP Adhir Chowdhury for his remark against President #DroupadiMurmu 

#LokSabha adjourned…",0,21
37,2982269822,2022-07-28 05:50:30+00:00,"LIVE | Ruckus in Parliament over Adhir Ranjan's remarks on #DroupadiMurmu. 

Follow updates on the #MonsoonSession here:   
https://t.co/qTaoBGOyxj",0,0
38,112703065,2022-07-28 05:49:58+00:00,"RT @timesofindia: ""He has already apologised,"" says #Congress interim president #SoniaGandhi on party's Adhir Chowdhury's 'Rashtrapatni' re…",0,1
39,134758540,2022-07-28 05:49:49+00:00,"""He has already apologised,"" says #Congress interim president #SoniaGandhi on party's Adhir Chowdhury's 'Rashtrapatni' remark against President #DroupadiMurmu (ANI) https://t.co/Vra0EdHKqw",20,1
40,1551873014941319168,2022-07-28 05:49:41+00:00,"Sonia Gandhi, you sanctioned the humiliation of #DroupadiMurmu. Sonia ji sanctioned humiliation of a woman in the highest constitutional post: Union minister Smriti Irani in Lok Sabha

Congress interim pres Sonia Gandhi was present in the House before it adjourned till 12 noon.",0,0
41,1112616234309152775,2022-07-28 05:49:40+00:00,"RT @timesofindia: Sonia Gandhi, you sanctioned the humiliation of #DroupadiMurmu. Sonia ji sanctioned humiliation of a woman in the highest…",0,2
42,1468638676423159808,2022-07-28 05:49:38+00:00,"RT @DigitalUpdateIN: In another low, Leader of Congress in LS, Adhir Ranjan Chowdhury, condescendingly refers to President Droupadi Murmu a…",0,1
43,560187379,2022-07-28 05:49:25+00:00,"RT @timesofindia: Sonia Gandhi, you sanctioned the humiliation of #DroupadiMurmu. Sonia ji sanctioned humiliation of a woman in the highest…",0,2
44,1415595644362711040,2022-07-28 05:49:17+00:00,No wonder #DroupadiMurmu ji was elected practically unanimously. I heard that she is a very pleasant person! I'm proud of our #PresidentofIndia,0,0
45,1415595644362711040,2022-07-28 05:49:16+00:00,"One great thing about our #President #DroupadiMurmu  She was a very unique governor - Who has excellent relationship with both ruling party and the opposition, even at the level of families. Mr Narasimhan, ex TS Gov maintained good relation but not at family level.  statesmen!",0,0
46,1437769569402241026,2022-07-28 05:49:16+00:00,"RT @bQFTCyTCS1zk6df: #DroupadiMurmu
By playing which Holi, we get all happiness and complete salvation?
#GodMorningThursday
Read the book ""…",0,7
47,560187379,2022-07-28 05:49:12+00:00,"RT @DDNewslive: BJP demands apology from Congress MP Adhir Chowdhury for his remark against President #DroupadiMurmu 

#LokSabha adjourned…",0,21
